WCAG-Kriterium	Name	Beschreibung	Fehleranzahl_axe	Fehleranzahl_WAVE
9.1.1.1	Nicht-Text-Inhalt	Alternative Texte für Bilder und andere Nicht-Text-Inhalte vorhanden?	269	238
9.1.3.1	Info und Beziehungen	Sind semantische HTML-Strukturen vorhanden?	46	23
9.1.4.1	Farbgebrauch	Werden Farben nicht allein zur Informationsvermittlung genutzt?	10	0
9.1.4.3	Mindestkontrast	Sind die Farbkontraste ausreichend?	503	518
9.1.4.4	Text skalierbar	Lässt sich der Text ohne Verluste auf 200\% vergrößern?	4	0
9.2.1.1	Tastaturbedienung	Ist die Website vollständig per Tastatur bedienbar?	4	0
9.2.4.1	Blockumgehung	Gibt es eine Möglichkeit, Navigation zu überspringen?	12	12
9.2.4.4	Linkzweck (im Kontext)	Ist der Zweck von Links verständlich?	84	88
9.2.4.6	Überschriften und Beschriftungen	Sind Überschriften und Labels sinnvoll genutzt?	0	4
9.2.4.7	Fokus sichtbar	Ist der Tastaturfokus immer erkennbar?	311	222
9.3.3.2	Labels oder Anleitungen	Gibt es klare Beschriftungen und Anleitungen?	0	5
9.4.1.2	Name, Rolle, Wert	Haben UI-Elemente korrekte ARIA-Attribute?	280	3
