WCAG-Kriterium	Name	Beschreibung	Fehleranzahl_axe	Fehleranzahl_WAVE
9.1.1.1	Nicht-Text-Inhalt	Alternative Texte für Bilder und andere Nicht-Text-Inhalte vorhanden?	0	3
9.1.3.1	Info und Beziehungen	Sind semantische HTML-Strukturen vorhanden?	0	1
9.1.4.3	Mindestkontrast	Sind die Farbkontraste ausreichend?	27	24
9.1.4.4	Text skalierbar	Lässt sich der Text ohne Verluste auf 200% vergrößern?	2	0
9.2.4.1	Blockumgehung	Gibt es eine Möglichkeit, Navigation zu überspringen?	3	3
9.2.4.4	Linkzweck (im Kontext)	Ist der Zweck von Links verständlich?	70	74
9.2.4.6	Überschriften und Beschriftungen	Sind Überschriften und Labels sinnvoll genutzt?	0	1
9.2.4.7	Fokus sichtbar	Ist der Tastaturfokus immer erkennbar?	78	0
9.3.3.2	Labels oder Anleitungen	Gibt es klare Beschriftungen und Anleitungen?	0	1
9.4.1.2	Name, Rolle, Wert	Haben UI-Elemente korrekte ARIA-Attribute?	72	0
