WCAG-Kriterium	Name	Beschreibung	Fehleranzahl_axe	Fehleranzahl_WAVE
9.1	Wahrnehmbar		33	53
9.1.1.1	Nicht-Text-Inhalt	Alternative Texte für Bilder und andere Nicht-Text-Inhalte vorhanden?	6	38
9.1.2.1	Nur-Audio und Nur-Video (vorab aufgezeichnet)	Sind Transkripte oder Beschreibungen für Medien vorhanden?		
9.1.2.2	Untertitel (vorab aufgezeichnet)	Sind Untertitel für Videos verfügbar?		
9.1.2.3	Audiodeskription oder Medienalternative (vorab aufgezeichnet)	Wird eine Audiodeskription oder alternative Inhalte angeboten?		
9.1.2.4	Untertitel (live)	Sind Live-Untertitel für Echtzeitmedien verfügbar?		
9.1.2.5	 Audiodeskription (vorab aufgezeichnet)	Wird eine Audiodeskription für Videos bereitgestellt?		
9.1.3.1	Info und Beziehungen	Sind semantische HTML-Strukturen vorhanden?	17	15
9.1.3.2	Bedeutung der Reihenfolge	Ist die Reihenfolge der Inhalte logisch und verständlich?		
9.1.3.3	Sensorische Merkmale	Sind keine rein sensorischen Hinweise erforderlich?		
9.1.3.4	Orientierung	Kann die Website im Hoch- und Querformat genutzt werden?		
9.1.3.5	Eingabezweck identifizieren	Werden Autofill-Attribute für Eingabefelder genutzt?		
9.1.4.1	Farbgebrauch	Werden Farben nicht allein zur Informationsvermittlung genutzt?	10	
9.1.4.2	Audio Kontrolle			
9.1.4.3	Mindestkontrast	Sind die Farbkontraste ausreichend?		
9.1.4.4	Text skalierbar	Lässt sich der Text ohne Verluste auf 200% vergrößern?		
9.1.4.5	Text in Bildern	Wird Text nicht als Bild dargestellt?		
9.1.4.10	Umfluss	Funktioniert die Website bei Verkleinerung oder Vergrößerung des Fensters?		
9.1.4.11	Nicht-Text-Kontrast	Haben UI-Elemente genügend Kontrast?		
9.1.4.12	Textabstand	Kann der Zeilenabstand angepasst werden?		
9.1.4.13	Inhalte bei Hover/Fokus	Sind Tooltipps und Popups zugänglich und steuerbar?		
9.2	Bedienbar		6	
9.2.1.1	Tastaturbedienung	Ist die Website vollständig per Tastatur bedienbar?		
9.2.1.2	Kein Tastaturfalle	Können alle Elemente problemlos per Tastatur verlassen werden?		
9.2.1.4	Einzeltasten-Shortcuts	Werden keine problematischen Shortcuts genutzt?		
9.2.2.1	Zeit anpassbar	Können zeitabhängige Inhalte pausiert oder verlängert werden?		
9.2.2.2	Pausieren, stoppen, ausblenden	Gibt es Kontrollmöglichkeiten für bewegte Inhalte?		
9.2.3.1	Flackergrenzen	Flackert kein Inhalt mit mehr als 3 Mal pro Sekunde?		
9.2.4.1	Blockumgehung	Gibt es eine Möglichkeit, Navigation zu überspringen?		
9.2.4.2	Titel der Seite	Ist der Seitentitel aussagekräftig?		
9.2.4.3	Fokusreihenfolge	Bewegen sich Nutzer in einer sinnvollen Reihenfolge durch die Seite?		
9.2.4.4	Linkzweck (im Kontext)	Ist der Zweck von Links verständlich?	6	
9.2.4.5	Mehrere Wege	Gibt es verschiedene Navigationsmöglichkeiten?		
9.2.4.6	Überschriften und Beschriftungen	Sind Überschriften und Labels sinnvoll genutzt?		
9.2.4.7	Fokus sichtbar	Ist der Tastaturfokus immer erkennbar?		
9.2.5.1	Pointer Gestures			
9.2.5.2	Pointer cancellation			
9.2.5.3	Label in name			
9.2.5.4	Motion actuation			
9.3	Verständlich			
9.3.1.1	Sprache der Seite	Ist die Sprache korrekt im HTML deklariert?		
9.3.1.2	Language of Parts			
9.3.2.1	Beim Fokus	Werden keine unerwarteten Änderungen durch Fokus ausgelöst?		
9.3.2.2	Bei Eingabe	Gibt es keine überraschenden Änderungen durch Nutzereingaben?		
9.3.2.3	Konsistente Navigation	Ist die Navigation auf allen Seiten konsistent?		
9.3.2.4	Consistent identifiaction			
9.3.3.1	Fehlererkennung	Werden Eingabefehler klar angezeigt?		
9.3.3.2	Labels oder Anleitungen	Gibt es klare Beschriftungen und Anleitungen?		
9.3.3.3	Error suggestion			
9.3.3.4	Error prevention (legal, financial, data)			
9.4	Robust		18	
9.4.1.1	Parsing	Sind HTML-Fehler vermieden?		
9.4.1.2	Name, Rolle, Wert	Haben UI-Elemente korrekte ARIA-Attribute?	18	
9.4.1.3	Statusmeldungen	Sind Statusmeldungen für Screenreader zugänglich?		
